"path","name"
"prpl-foundation/components/ambiorix/ambiorix","ambiorix-manifest"
"prpl-foundation/components/ambiorix/applications/amxrt","amxrt"
"prpl-foundation/components/ambiorix/applications/amx-cli","amx-cli"
"prpl-foundation/components/ambiorix/applications/amxb-inspect","amxb-inspect"
"prpl-foundation/components/ambiorix/applications/amxo-cg","amxo-cg"
"prpl-foundation/components/ambiorix/applications/amxo-xml-to","amxo-xml-to"
"prpl-foundation/components/ambiorix/applications/acl-manager","acl-manager"
"prpl-foundation/components/ambiorix/applications/amx-fcgi","amx-fcgi"
"prpl-foundation/components/ambiorix/bindings/python3","python-amx"
"prpl-foundation/components/ambiorix/bindings/lua/lua-amx","lua-amx"
"prpl-foundation/components/ambiorix/bindings/lua/mod-lua-amx","mod-lua-amx"
"prpl-foundation/components/ambiorix/examples/baapi/subscribe","amx-subscribe"
"prpl-foundation/components/ambiorix/examples/collections/variant_contacts","amx-variant-contacts"
"prpl-foundation/components/ambiorix/examples/collections/htable_contacts","amx-htable-contacts"
"prpl-foundation/components/ambiorix/examples/collections/llist_contacts","amx-llist-contacts"
"prpl-foundation/components/ambiorix/examples/datamodel/cpu-info","amx-cpu-info"
"prpl-foundation/components/ambiorix/examples/datamodel/greeter_app","amx-greeter-app"
"prpl-foundation/components/ambiorix/examples/datamodel/greeter_plugin","amx-greeter-plugin"
"prpl-foundation/components/ambiorix/examples/datamodel/ssh-server","amx-ssh-server"
"prpl-foundation/components/ambiorix/examples/datamodel/localagent_threshold","amx-tr181-localagent-threshold"
"prpl-foundation/components/ambiorix/examples/webui/webui","amx-webui"
"prpl-foundation/components/ambiorix/libraries/libamxc","libamxc"
"prpl-foundation/components/ambiorix/libraries/libamxp","libamxp"
"prpl-foundation/components/ambiorix/libraries/libamxd","libamxd"
"prpl-foundation/components/ambiorix/libraries/libamxb","libamxb"
"prpl-foundation/components/ambiorix/libraries/libamxo","libamxo"
"prpl-foundation/components/ambiorix/libraries/libamxj","libamxj"
"prpl-foundation/components/ambiorix/libraries/libamxm","libamxm"
"prpl-foundation/components/ambiorix/libraries/libamxt","libamxt"
"prpl-foundation/components/ambiorix/libraries/libamxa","libamxa"
"prpl-foundation/components/ambiorix/libraries/libamxs","libamxs"
"prpl-foundation/components/ambiorix/libraries/libamxrt","libamxrt"
"prpl-foundation/components/ambiorix/tools/libraries/libamxut","libamxut"
"prpl-foundation/components/ambiorix/modules/amx_cli/mod-ba-cli","mod-ba-cli"
"prpl-foundation/components/ambiorix/modules/amx_cli/mod-dm-cli","mod-dm-cli"
"prpl-foundation/components/ambiorix/modules/amxb_backends/amxb_pcb","mod-amxb-pcb"
"prpl-foundation/components/ambiorix/modules/amxb_backends/amxb_ubus","mod-amxb-ubus"
"prpl-foundation/components/ambiorix/modules/amxb_backends/amxb_rbus2","mod-amxb-rbus"
"prpl-foundation/components/ambiorix/modules/amxb_backends/amxb_dummy","mod-amxb-dummy"
"prpl-foundation/components/ambiorix/modules/amxb_backends/amxb_usp","mod-amxb-usp"
"prpl-foundation/components/core/libraries/libdhcpoptions","libdhcpoptions"
"prpl-foundation/components/core/libraries/libfiletransfer","libfiletransfer"
"prpl-foundation/components/core/libraries/libfwinterface","libfwinterface"
"prpl-foundation/components/core/libraries/libfwrules","libfwrules"
"prpl-foundation/components/core/libraries/libimtp","libimtp"
"prpl-foundation/components/core/libraries/libipat","libipat"
"prpl-foundation/components/core/libraries/libnetlink-utils","libnetlink-utils"
"prpl-foundation/components/core/libraries/libnetmodel","libnetmodel"
"prpl-foundation/components/core/libraries/libpacket-interception","libpacket-interception"
"prpl-foundation/components/core/libraries/libprotobuf","libuspprotobuf"
"prpl-foundation/components/core/libraries/libqoscommon","libqoscommon"
"prpl-foundation/components/core/libraries/libqosmodule","libqosmodule"
"prpl-foundation/components/core/libraries/libqosnode","libqosnode"
"prpl-foundation/components/core/libraries/libsahtrace","libsahtrace"
"prpl-foundation/components/core/libraries/libtr69-engine","libtr69-engine"
"prpl-foundation/components/core/libraries/libusp","libusp"
"prpl-foundation/components/core/libraries/libuspi","libuspi"
"prpl-foundation/components/core/modules/mod-autosensing","mod-autosensing"
"prpl-foundation/components/core/modules/mod-dmext","mod-dmext"
"prpl-foundation/components/core/modules/mod-dmproxy","mod-dmproxy"
"prpl-foundation/components/core/modules/mod-dmstats","mod-dmstats"
"prpl-foundation/components/core/modules/mod-fw-amx","mod-fw-amx"
"prpl-foundation/components/core/modules/mod-fw-host","mod-fw-host"
"prpl-foundation/components/core/modules/mod-httpaccess-lighttpd","mod-httpaccess-lighttpd"
"prpl-foundation/components/core/modules/mod-pcm-svc","mod-pcm-svc"
"prpl-foundation/components/core/modules/mod-qos-tc","mod-qos-tc"
"prpl-foundation/components/core/modules/mod-qos-dummy","mod-qos-dummy"
"prpl-foundation/components/core/modules/mod-sahtrace","mod-sahtrace"
"prpl-foundation/components/core/modules/mod-vlan-ioctl","mod-vlan-ioctl"
"prpl-foundation/components/core/modules/mod-vlan-uci","mod-vlan-uci"
"prpl-foundation/components/core/modules/mod-xpon-prpl","mod-xpon-prpl"
"prpl-foundation/components/core/plugins/multisettings","multisettings"
"prpl-foundation/components/core/plugins/netdev","netdev-plugin"
"prpl-foundation/components/core/plugins/netmodel","netmodel"
"prpl-foundation/components/core/plugins/packet-interception","packet-interception"
"prpl-foundation/components/core/plugins/ssh-server","ssh-server"
"prpl-foundation/components/core/plugins/tr069-manager","tr069-manager"
"prpl-foundation/components/core/plugins/tr181-bridging","tr181-bridging"
"prpl-foundation/components/core/plugins/tr181-device","tr181-device"
"prpl-foundation/components/core/plugins/tr181-deviceinfo","deviceinfo-manager"
"prpl-foundation/components/core/plugins/tr181-dhcpv4","dhcpv4-manager"
"prpl-foundation/components/core/plugins/tr181-dhcpv4client","tr181-dhcpv4client"
"prpl-foundation/components/core/plugins/tr181-dhcpv6client","tr181-dhcpv6client"
"prpl-foundation/components/core/plugins/tr181-dhcpv6s","dhcpv6s-manager"
"prpl-foundation/components/core/plugins/tr181-dns","tr181-dns"
"prpl-foundation/components/core/plugins/tr181-dnssd","tr181-dnssd"
"prpl-foundation/components/core/plugins/tr181-dslite","tr181-dslite"
"prpl-foundation/components/core/plugins/tr181-dns","tr181-dns"
"prpl-foundation/components/core/plugins/tr181-dynamicdns","tr181-dynamicdns"
"prpl-foundation/components/core/plugins/tr181-ethernet","ethernet-manager"
"prpl-foundation/components/core/plugins/tr181-firewall","tr181-firewall"
"prpl-foundation/components/core/plugins/tr181-hosts","hosts-manager"
"prpl-foundation/components/core/plugins/tr181-httpaccess","tr181-httpaccess"
"prpl-foundation/components/core/plugins/tr181-ip","ip-manager"
"prpl-foundation/components/core/plugins/tr181-logical","tr181-logical"
"prpl-foundation/components/core/plugins/tr181-moca","moca-manager"
"prpl-foundation/components/core/plugins/tr181-neighbordiscovery","tr181-neighbordiscovery"
"prpl-foundation/components/core/plugins/tr181-pcm","pcm-manager"
"prpl-foundation/components/core/plugins/tr181-pcp","tr181-pcp"
"prpl-foundation/components/core/plugins/tr181-ppp","tr181-ppp"
"prpl-foundation/components/core/plugins/tr181-qos","tr181-qos"
"prpl-foundation/components/core/plugins/tr181-routeradvertisement","tr181-routeradvertisement"
"prpl-foundation/components/core/plugins/tr181-routing","routing-manager"
"prpl-foundation/components/core/plugins/tr181-time","time-manager"
"prpl-foundation/components/core/plugins/tr181-upnp","tr181-upnp"
"prpl-foundation/components/core/plugins/tr181-usermanagement","tr181-usermanagement"
"prpl-foundation/components/core/plugins/tr181-xpon","tr181-xpon"
"prpl-foundation/components/core/plugins/wan-autosensing","wan-autosensing"
"prpl-foundation/components/core/plugins/wan-manager","wan-manager"
"prpl-foundation/components/gmap/applications/gmap-client","gmap-client"
"prpl-foundation/components/gmap/applications/gmap-mod-ethernet-dev","gmap-mod-ethernet-dev"
"prpl-foundation/components/gmap/applications/gmap-mod-name-selector","gmap-mod-name-selector"
"prpl-foundation/components/gmap/applications/gmap-mod-self","gmap-mod-self"
"prpl-foundation/components/gmap/applications/gmap-server","gmap-server"
"prpl-foundation/components/gmap/libraries/libgmap-client","libgmap-client"
"prpl-foundation/components/gmap/libraries/libgmap-ext","libgmap-ext"
"prpl-foundation/components/gmap/mibs/gmap-mibs-common","gmap-mibs-common"
"prpl-foundation/components/netmodel/applications/netmodel-clients","netmodel-clients"
"prpl-foundation/components/netmodel/clients/netmodel-bridge","netmodel-bridge"
"prpl-foundation/components/netmodel/clients/netmodel-dhcpv4","netmodel-dhcpv4"
"prpl-foundation/components/netmodel/clients/netmodel-dhcpv6","netmodel-dhcpv6"
"prpl-foundation/components/netmodel/clients/netmodel-dslite","netmodel-dslite"
"prpl-foundation/components/netmodel/clients/netmodel-ethernet","netmodel-ethernet"
"prpl-foundation/components/netmodel/clients/netmodel-ip","netmodel-ip"
"prpl-foundation/components/netmodel/clients/netmodel-iprouter","netmodel-iprouter"
"prpl-foundation/components/netmodel/clients/netmodel-logical","netmodel-logical"
